end_date,is_open,link,location,name,platform,start_date
2023-10-15,FALSE,http://hackwashu.com/,"St. Louis, Missouri",Hack WashU,MLH,2023-10-14
2023-10-14,FALSE,https://untnsbehack.wixsite.com/hack,"Denton, Texas",UNT NSBEHack,MLH,2023-10-13
2023-10-08,FALSE,https://hackuta.org/,"Arlington, Texas",HackUTA 2023,MLH,2023-10-07
2023-10-08,FALSE,https://2023.knighthacks.org,"Orlando, Florida",KnightHacks,MLH,2023-10-06
2023-10-08,FALSE,https://www.thegoldenhack.ca/,"Waterloo, Ontario",The Golden Hack 5.0,MLH,2023-10-07
2023-10-08,FALSE,https://events.mlh.io/events/10097-techtogether-online,Online,TechTogether Online,MLH,2023-10-06
2023-10-07,FALSE,https://www.hackathonmorelos.mx/edicion12,"Cuernavaca, Morelos, Mexico",Hack Morelos 12th Editon,MLH,2023-10-06
2023-10-06,FALSE,https://www.businessmeetstech.de/,"Vallendar, Germany",IdeaHack! x Junction,MLH,2023-10-05
2023-10-01,FALSE,https://opinhacks.co/,"Durg, Chattisgarh, IN",Opin Hacks,MLH,2023-09-29
2023-10-01,FALSE,https://kuhackfest.com/,"Kathmandu, Nepal",KU HackFest 2023,MLH,2023-09-29
2023-09-24,FALSE,https://hack.rice.edu/,"Houston, Texas",HackRice,MLH,2023-09-22
2023-09-24,FALSE,https://hack.uiowa.edu,"Iowa City, Iowa",HACKUIOWA,MLH,2023-09-23
2023-09-24,FALSE,https://columbiadivhacks.com/,"New York City, New York",DivHacks 2023,MLH,2023-09-23
2023-09-24,FALSE,https://organize.mlh.io/participants/events/10004-transporthacks,Online,TransportHacks,MLH,2023-09-22
2023-09-17,FALSE,https://vthacks.com/,"Blacksburg, Virginia",VTHacks 11,MLH,2023-09-15
2023-09-17,FALSE,https://hacksmu.org/,"Dallas, Texas",HackSMU,MLH,2023-09-16
2023-09-17,FALSE,https://pittchallenge.com,"Pittsburgh, Pennsylvania",Pitt Challenge,MLH,2023-09-15
2023-09-16,FALSE,https://www.acmatcmu.com/hackcmu/,"Pittsburgh, Pennsylvania",HackCMU,MLH,2023-09-15
2023-09-10,FALSE,https://2023.hackduke.org/,"Durham, North Carolina",HackDuke: Code for Good,MLH,2023-09-08
2023-09-03,FALSE,https://rythmhacks.ca/,"Waterloo, Ontario, Canada",RythmHacks,MLH,2023-09-01
2023-09-03,TRUE,https://organize.mlh.io/participants/events/10002-hack-the-classroom,Online,Hack the Classroom,MLH,2023-09-01
2023-08-13,TRUE,https://hackathon.iiitkalyani.ac.in/,"Kolkata, West Bengal",statusCode 0,MLH,2023-08-12
2023-07-30,TRUE,https://organize.mlh.io/participants/events/9848-hackbattle-react-vs-angular,Online,HackBattle: React vs Angular,MLH,2023-07-28